                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.59226,                0.34249,                 1.0393,                0.71948,                0.51042,                0.56944,                0.40948,                    nan,                    inf,                    nan,               0.003004,               0.003004,               0.003004
                     55,                0.59264,                0.34214,                 1.0401,                0.73268,                0.75658,                 0.7861,                0.51292,                    nan,                    inf,                    nan,               0.002872,               0.002872,               0.002872
                     56,                0.58311,                0.33542,                 1.0346,                 0.9181,                0.48958,                0.59122,                0.42187,                    nan,                    inf,                    nan,                0.00274,                0.00274,                0.00274
                     57,                0.56763,                0.33606,                 1.0301,                 0.8947,                0.57532,                0.64594,                0.42759,                    nan,                    inf,                    nan,               0.002608,               0.002608,               0.002608
                     58,                0.56407,                0.33457,                 1.0237,                 0.7878,                0.55729,                0.63806,                0.43221,                    nan,                    inf,                    nan,               0.002476,               0.002476,               0.002476
                     59,                0.56613,                0.32606,                 1.0198,                0.77874,                0.54688,                 0.6295,                0.42712,                    nan,                    inf,                    nan,               0.002344,               0.002344,               0.002344
                     60,                0.56476,                0.32796,                 1.0193,                0.94271,                0.51423,                0.56636,                0.41242,                    nan,                    inf,                    nan,               0.002212,               0.002212,               0.002212
                     61,                0.55433,                0.31368,                 1.0171,                0.94748,                 0.4698,                0.53367,                0.40157,                    nan,                    inf,                    nan,                0.00208,                0.00208,                0.00208
                     62,                0.55163,                0.31951,                 1.0183,                0.88485,                 0.4803,                0.54527,                  0.399,                    nan,                    inf,                    nan,               0.001948,               0.001948,               0.001948
                     63,                0.53919,                0.31307,                 1.0073,                0.80249,                0.54167,                0.55806,                0.41017,                    nan,                    inf,                    nan,               0.001816,               0.001816,               0.001816
                     64,                0.53939,                0.30992,                 1.0049,                0.92394,                0.50614,                0.57514,                0.41718,                    nan,                    inf,                    nan,               0.001684,               0.001684,               0.001684
                     65,                0.41491,                0.25474,                0.96801,                0.88148,                0.52083,                0.56767,                 0.4053,                    nan,                    inf,                    nan,               0.001552,               0.001552,               0.001552
                     66,                0.42142,                0.25256,                0.95673,                0.90305,                0.59896,                0.66245,                0.45713,                    nan,                    inf,                    nan,                0.00142,                0.00142,                0.00142
                     67,                0.41525,                0.24787,                0.96037,                0.97495,                0.47917,                0.52714,                0.40136,                    nan,                    inf,                    nan,               0.001288,               0.001288,               0.001288
                     68,                0.40231,                0.23581,                0.95323,                0.93114,                0.49297,                0.52573,                0.39125,                    nan,                    inf,                    nan,               0.001156,               0.001156,               0.001156
                     69,                0.39683,                0.23853,                 0.9522,                0.94129,                0.48438,                0.54722,                0.40363,                    nan,                    inf,                    nan,               0.001024,               0.001024,               0.001024
                     70,                0.38833,                0.23352,                0.94962,                0.88748,                0.53646,                0.59516,                0.42573,                    nan,                    inf,                    nan,               0.000892,               0.000892,               0.000892
                     71,                0.38757,                0.23067,                0.94672,                0.91627,                0.50521,                0.57472,                0.42418,                    nan,                    inf,                    nan,                0.00076,                0.00076,                0.00076
                     72,                0.38877,                0.22819,                0.95185,                0.88969,                0.55208,                0.64313,                0.45954,                    nan,                    inf,                    nan,               0.000628,               0.000628,               0.000628
                     73,                0.37258,                0.21614,                0.94169,                0.86037,                0.52604,                0.59025,                0.43708,                    nan,                    inf,                    nan,               0.000496,               0.000496,               0.000496
                     74,                0.35572,                0.21377,                0.93471,                0.96597,                0.48958,                 0.5716,                0.42842,                    nan,                    inf,                    nan,               0.000364,               0.000364,               0.000364
